plot,trt,level,year,rep,f.LAI.soy,f.LAI.rag,f.LAI.ratio,f.rTDM.m2,s.LAI.soy,s.LAI.rag,s.LAI.ratio,s.rTDM.m2,t.LAI.soy,t.LAI.rag,t.LAI.ratio,t.rTDM.m2,l.LAI.soy,l.LAI.rag,l.LAI.ratio,l.rTDM.m2,ADJrhd,ADJrhd.m2,grams.20ft,H2O,ADJ_yield,YL
104,2,0,2015,1,0.44,0,0,0,2.67,0,0,0,3.77,0,0,0,4.25,0,0,.,0,0,2243.4,10.2,2315.6,0
205,2,0,2015,2,0.61,0,0,0,1.97,0,0,0,5.06,0,0,0,4.68,0,0,.,0,0,2560,12,2589.43,0
315,2,0,2015,3,0.3,0,0,0,2.29,0,0,0,7.1,0,0,0,3.45,0,0,.,0,0,2432.4,12.2,2454.77,0
413,2,0,2015,4,0.32,0,0,0,1.27,0,0,0,6.95,0,0,0,5.22,0,0,.,0,0,2597.8,13.1,2594.81,0
109,2,50,2015,1,0.54,0,0,0,2.36,0,0,0,4.38,0,0,0,.,.,.,.,0,0,2160.4,12.1,2182.75,0
208,2,50,2015,2,0.54,0,0,0,1.85,0,0,0,7.46,0,0,0,.,.,.,.,0,0,2322.8,12.4,2338.82,0
307,2,50,2015,3,0.47,0,0,0,2.17,0,0,0,4.89,0,0,0,.,.,.,.,0,0,2726.4,12.8,2732.67,0
409,2,50,2015,4,0.59,0,0,0,1.27,0,0,0,4.44,0,0,0,.,.,.,.,0,0,2518.8,12.9,2521.7,0
111,2,100,2015,1,0.37,0,0,0,1.91,0,0,0,5.64,0,0,0,4.54,0,0,.,0,0,2408.4,13,2408.4,0
211,2,100,2015,2,0.28,0,0,0,1.57,0,0,0,4.28,0,0,0,4.24,0,0,.,0,0,2096.6,11.7,2127.93,0
303,2,100,2015,3,0.48,0,0,0,2.66,0,0,0,5.18,0,0,0,3.8,0,0,.,0,0,2421.6,11.2,2471.7,0
401,2,100,2015,4,0.46,0,0,0,1.12,0,0,0,4.06,0,0,0,3.46,0,0,.,0,0,2061.8,10.7,2116.31,0
210,3,50,2015,2,0.37,0.01,0.02,0.54,1.6,0.06,0.04,4.95,3.76,0.61,0.14,97.38,.,.,.,.,4.92,6.456696416,817.4,12.6,821.16,0.6489
415,3,0,2015,4,0.31,0.02,0.05,2.01,0.67,0.18,0.21,14.71,3.39,0.79,0.19,99.87,0.53,0.61,0.53,.,1.48,1.942258272,872,13.7,864.98,0.6666
103,3,0,2015,1,0.38,0.03,0.06,1.35,2.19,0.37,0.14,27.47,3.05,1.74,0.36,254.99,1.76,0.37,0.17,.,2.62,3.438322075,677,13.6,672.33,0.7097
405,3,100,2015,4,0.31,0.01,0.03,0.88,1.76,0.37,0.17,30.93,4.39,0.67,0.13,140.16,0.79,2.01,0.72,.,2.3,3.018374341,557.4,14.1,550.35,0.7399
107,3,50,2015,1,0.39,0.04,0.1,2.43,2.05,0.63,0.24,.,4.2,0.85,0.17,125.46,.,.,.,.,2.62,3.438322075,529,13,529,0.7576
