block,treat,densitycrop,densityweed,species1g,yl,weed
1,1,1,0,31.57,-18.9,1
2,1,1,0,20.2,23.9,1
3,1,1,0,28.5,-7.4,1
4,1,1,0,25.9,2.4,1
1,2,1,1,7.6,71.4,1
2,2,1,1,8.8,66.8,1
3,2,1,1,7.5,71.7,1
4,2,1,1,10.5,60.4,1
1,3,1,2,3,88.7,1
2,3,1,2,2.8,89.5,1
3,3,1,2,4.5,83.0,1
4,3,1,2,2.3,91.3,1
1,4,1,3,0.9,96.6,1
2,4,1,3,3,88.7,1
3,4,1,3,4.1,84.6,1
4,4,1,3,1.2,95.5,1
1,5,1,4,2.7,89.8,1
2,5,1,4,1.5,94.3,1
3,5,1,4,2.7,89.8,1
4,5,1,4,1.4,94.7,1
1,1,1,0,16.2,25.5,2
2,1,1,0,26.3,-20.9,2
3,1,1,0,26.3,-20.9,2
4,1,1,0,18.2,16.3,2
1,2,1,1,16.2,25.5,2
2,2,1,1,17.8,18.2,2
3,2,1,1,16.9,22.3,2
4,2,1,1,15.5,28.7,2
1,3,1,2,6.8,68.7,2
2,3,1,2,21,3.4,2
3,3,1,2,12.7,41.6,2
4,3,1,2,16.4,24.6,2
1,4,1,3,13.1,39.8,2
2,4,1,3,6.5,70.1,2
3,4,1,3,8.6,60.5,2
4,4,1,3,6.1,72.0,2
1,5,1,4,6.8,68.7,2
2,5,1,4,15.8,27.4,2
3,5,1,4,13.7,37.0,2
4,5,1,4,13.2,39.3,2
