block,treat,densitycrop,densityweed,species1g,yl,weed
1,1,1,0,27.54,-14,1
2,1,1,0,21.59,11,1
3,1,1,0,24.32,0,1
4,1,1,0,23.37,3,1
1,2,1,1,9.37,61,1
2,2,1,1,14.58,40,1
3,2,1,1,10.38,57,1
4,2,1,1,10.98,55,1
1,3,1,2,5.8,76,1
2,3,1,2,5.75,76,1
3,3,1,2,6.99,71,1
4,3,1,2,3.92,84,1
1,4,1,3,2.69,89,1
2,4,1,3,3.96,84,1
3,4,1,3,6.65,73,1
4,4,1,3,2.3,90,1
1,5,1,4,5.81,76,1
2,5,1,4,3.79,84,1
3,5,1,4,4.49,81,1
4,5,1,4,2.54,90,1
1,1,1,0,18.58,15.19853948,2
2,1,1,0,26.19,-19.53445915,2
3,1,1,0,23.75,-8.397991785,2
4,1,1,0,19.15,12.59698768,2
1,2,1,1,18.06,17.57188498,2
2,2,1,1,18,17.84573254,2
3,2,1,1,18.05,17.61752624,2
4,2,1,1,16.46,24.87448654,2
1,3,1,2,9.65,55.95618439,2
2,3,1,2,13.82,36.9237791,2
3,3,1,2,15.2,30.62528526,2
4,3,1,2,16.63,24.09858512,2
1,4,1,3,17.18,21.58831584,2
2,4,1,3,8.2,62.57416705,2
3,4,1,3,11.18,48.97307166,2
4,4,1,3,8.15,62.80237335,2
1,5,1,4,6.93,68.37060703,2
2,5,1,4,14.8,32.45093565,2
3,5,1,4,16.1,26.51757188,2
4,5,1,4,17.68,19.30625285,2
