block,treat,densitycrop,densityweed,species1g,yl,weed
1,1,1,0,77,-3.182579564,1
2,1,1,0,75,-0.502512563,1
3,1,1,0,79,-5.862646566,1
4,1,1,0,70,6.197654941,1
1,2,1,1,50,32.99832496,1
2,2,1,1,47,37.01842546,1
3,2,1,1,49,34.33835846,1
4,2,1,1,46,38.35845896,1
1,3,1,2,29,61.13902848,1
2,3,1,2,32,57.11892797,1
3,3,1,2,36,51.75879397,1
4,3,1,2,20,73.19932998,1
1,4,1,3,25,66.49916248,1
2,4,1,3,31,58.45896147,1
3,4,1,3,31,58.45896147,1
4,4,1,3,22,70.51926298,1
1,5,1,4,22,70.51926298,1
2,5,1,4,29,61.13902848,1
3,5,1,4,28,62.47906198,1
4,5,1,4,23,69.17922948,1
1,1,1,0,70,6.197654941,2
2,1,1,0,80,-7.202680067,2
3,1,1,0,78,-4.522613065,2
4,1,1,0,68,8.877721943,2
1,2,1,1,58,22.27805695,2
2,2,1,1,58,22.27805695,2
3,2,1,1,57,23.61809045,2
4,2,1,1,51,31.65829146,2
1,3,1,2,45,39.69849246,2
2,3,1,2,41,45.05862647,2
3,3,1,2,48,35.67839196,2
4,3,1,2,55,26.29815745,2
1,4,1,3,42,43.71859296,2
2,4,1,3,36,51.75879397,2
3,4,1,3,47,37.01842546,2
4,4,1,3,35,53.09882747,2
1,5,1,4,31,58.45896147,2
2,5,1,4,35,53.09882747,2
3,5,1,4,36,51.75879397,2
4,5,1,4,39,47.73869347,2
