block,treat,densitycrop,densityweed,species1g,yl,weed
1,1,1,0,3254.541,2.884599891,1
2,1,1,0,3354.164,-0.088147266,1
3,1,1,0,3244.347896,3.188761791,1
4,1,1,0,3419.802816,-2.046807452,1
1,2,1,1,1173.174316,64.99251566,1
2,2,1,1,1488.267576,55.59014278,1
3,2,1,1,1393.420187,58.42038586,1
4,2,1,1,1676.123101,49.98453988,1
1,3,1,2,472.2037288,85.90945572,1
2,3,1,2,448.9930769,86.60206084,1
3,3,1,2,637.75,80.96956025,1
4,3,1,2,402.44925,87.99092716,1
1,4,1,3,177.2477778,94.71093194,1
2,4,1,3,553.1978571,83.49259351,1
3,4,1,3,761.4648684,77.2779125,1
4,4,1,3,228.5145833,93.18113209,1
1,5,1,4,405.9028814,87.88787091,1
2,5,1,4,248.1877778,92.59408459,1
3,5,1,4,519.0956863,84.5102012,1
4,5,1,4,346.84,89.65030541,1
1,1,1,0,3534.796593,-5.478218106,2
2,1,1,0,3404.177143,-1.580537865,2
3,1,1,0,3274.104824,2.300816004,2
4,1,1,0,3323.727439,0.820078748,2
1,2,1,1,2387.156267,28.76733278,2
2,2,1,1,2533.56991,24.39835433,2
3,2,1,1,2708.052551,19.19179786,2
4,2,1,1,2255.75805,32.68825141,2
1,3,1,2,2151.21,35.8079619,2
2,3,1,2,1950.244,41.80478096,2
3,3,1,2,2138.1016,36.19911614,2
4,3,1,2,1665.634971,50.29750535,2
1,4,1,3,1890.272386,43.59433202,2
2,4,1,3,1049.784,68.67447877,2
3,4,1,3,1461.5475,56.387469,2
4,4,1,3,1142.606458,65.90465957,2
1,5,1,4,1166.612121,65.18833135,2
2,5,1,4,1125.132,66.42609684,2
3,5,1,4,1064.2,68.24430579,2
4,5,1,4,1453.1,56.63954214,2
